NR IMOVEL;NR INCRA;CEP
93797842;9510647200380;08900000
93797877;9510305873706;78690000
93797885;9510727495917;65758000
93797907;9510805177471;65758000
93797915;9510808945160;65753000
28046994;5020220013412;29800000
93798180;9510809894100;68450000
93798202;9501066109250;88900001
93798245;9510805057905;45400000
93798288;9501734306764;62512000
93798326;9510485225545;83407625
93798385;9501734188621;62512000
93798407;9510809644414;64240000
93798415;9510803591300;76380002
93798458;9510990120928;59870000
93798482;9510809812570;78540000
93798504;9510809772765;49100000
93798512;9999976195310;65945000
93798547;9510809889603;76680000
93798555;9510809974120;97980000
93798601;9999033832605;62525000
93798610;9510809800300;39930000
93798628;9510219707437;37610000
93798652;3070410499486;46425000
93798660;9510139290349;18620000
93798695;9999976070372;65945000
93798733;9510809531563;72900001
93798750;9510809837301;65130000
93798806;9510809294685;17650000
93798830;9510809741614;65580000
93798865;9999708884278;65973000
93798920;0000438277706;29850000
93798938;9501653806797;68655000
93798989;9510809804985;26900000
93799071;9510809707866;88140000
93799080;9510809946933;15225000
93799110;9510809587003;75220000
93799128;9510809932800;46430000
63792788;0000519827689;68537000
93799152;9510809362001;29920000
93799217;9510990036200;48619899
93799250;9510809893120;65714000
93799314;9510809962203;46800000
93799322;9999032540295;78330000
93799330;0000433691601;77803010
93799365;9510809963781;46800000
93799403;9510809891934;65714000
93799411;9510809959830;46800000
93799446;9510211803003;39600000
93799462;9510990034177;48619899
93799470;9510809760163;75675000
93799594;9510808584558;68555006
93799616;9510808563801;15850000
93799659;9510809883672;45834000
93799667;9510809914900;35578899
93799683;9510809888712;45834000
93799691;9510809889794;45834000
41989511;6210560068154;17400000
93799713;8161240039055;89280970
93799721;9510807241908;45836000
93799730;9510806793303;12800000
93799926;9999629393587;73890000
93799942;9510805636255;89281477
93800096;9350420102198;75675000
93800142;9999707753200;69820000
93800169;9510809927637;48540000
93800177;9510809782132;76898000
93800185;9510809925340;48540000
93800231;0000190673774;76937000
93800240;9510809891004;45834000
93800290;9500335199524;95860000
93343868;9501739942510;44340000
93800320;9510059075455;65775000
93800339;3250740017672;45834000
93800355;9510561994359;88930000
93800371;8110680022401;88930000
93800398;9510809763421;45834000
93800410;9510802451947;45300000
93800444;1220250369356;64160000
10642951;9050460033446;78773000
93800452;1110230311866;65925000
93800495;9501733041406;56302970
93800509;2073300080795;58800005
93800517;9500925525001;49945000
93800541;9510805040506;12490000
93800568;9510808374740;69900001
93800576;9510807595971;35225000
93800614;9510809896227;78540000
93800630;9510809332013;37600000
93800649;9510807594142;35225000
93800657;9510809032133;29640000
93800665;9510809772684;69180000
93800673;9510807119266;35220000
93800690;9510809773141;37550001
93800738;9510808385270;69900001
93800770;9510807547306;39518000
93800851;8693500035735;99855000
93800886;9510801291784;85650000
11759585;5030880046939;29950000
02175150;5040760023647;29640000
93800932;9999708874043;65935500
93800967;9510809797598;37280000
93800983;9510809898190;75400001
93801009;9501651400904;49680000
93801025;9510807497538;64295000
93801041;9501739694355;87430000
93801050;4141230178094;38400010
93801165;9510809917755;87430000
25261401;4342050160206;37250000
93801238;9510809940900;87430000
93801254;9510804147005;14801970
93801297;9510809599958;87430000
93801300;9510809602339;87430000
93801327;9510725048743;35850000
93801335;9510809824153;14960000
93801351;9510990004502;36892500
92134173;8030140109440;89828000
93801459;9510803217107;64975000
93801467;9510809583369;89683000
93801491;9510809845312;15220000
93801505;9510809677770;17201000
70374953;9500506741179;68639000
93801629;9510809343058;48900002
93801645;9510809369103;36300001
93801670;9510808650607;15600001
93801688;9510809369529;36300001
93801777;9510809368638;36300001
93801785;9510802384816;65716000
09994009;8141800045292;89663000
05268168;8620370124164;96300000
93801840;9999708462284;65716000
93801874;9510806042405;76245000
93801904;9510809176305;38140000
10548149;8640130293008;97541000
93801947;9510809973582;64540000
93801971;9510805447525;37948000
93802056;9999629422781;38400010
93802072;9510647959920;84620000
06366350;4311760001910;36420000
93802161;0000279849817;44780000
93802188;9510807557107;63515000
93802218;9510809830714;56355000
93802340;9999706704647;63515000
93802366;9510809802931;78425000
93802412;9999706678204;63515000
93802420;9510809806767;39520000
93802447;9510721088473;85940000
74875825;9500927929266;79930000
93802480;9999892656320;63515000
93802510;9510809455280;35450000
93802552;9510219858648;62660000
93802587;9510809085091;64798000
